channel,message_id,version,published,edited,currency_a,currency_b,buy,sell,comment
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,EUR,USD,1.169,1.173,крос-курс (EUR/USD)
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,USD,UAH,41.67,41.82,від 1000$
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,USD,UAH,41.7,41.8,від 3000$
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,USD,UAH,41.75,41.8,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,EUR,UAH,48.82,48.97,від 1000€
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,EUR,UAH,48.85,48.95,від 3000€
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,EUR,UAH,48.88,48.95,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,PLN,UAH,11.41,11.5,
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,GBP,UAH,55.55,56.1,
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,CHF,UAH,52.15,52.55,
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,CAD,UAH,29.2,29.73,
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,CZK,UAH,1.93,2.0,
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,SEK,UAH,3.88,4.08,
GARANT,58056,v1,2025-10-21 11:23:41,2025-10-21 11:23:41,JPY,UAH,2.28,2.89,
GARANT,58208,v1,2025-10-24 09:28:30,2025-10-24 09:28:30,EUR,USD,1.163,1.169,крос-курс (EUR/USD)
GARANT,58208,v1,2025-10-24 09:28:30,2025-10-24 09:28:30,USD,UAH,41.92,42.12,від 1000$
GARANT,58208,v1,2025-10-24 09:28:30,2025-10-24 09:28:30,USD,UAH,41.9,42.1,від 3000$
GARANT,58208,v1,2025-10-24 09:28:30,2025-10-24 09:28:30,USD,UAH,41.95,42.07,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58208,v1,2025-10-24 09:28:30,2025-10-24 09:28:30,EUR,UAH,48.82,49.15,від 1000€
GARANT,58208,v1,2025-10-24 09:28:30,2025-10-24 09:28:30,EUR,UAH,48.85,49.13,від 3000€
GARANT,58208,v1,2025-10-24 09:28:30,2025-10-24 09:28:30,EUR,UAH,48.9,49.05,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58208,v1,2025-10-24 09:28:30,2025-10-24 09:28:30,PLN,UAH,11.48,11.57,
GARANT,58208,v1,2025-10-24 09:28:30,2025-10-24 09:28:30,GBP,UAH,55.7,56.2,
GARANT,58208,v1,2025-10-24 09:28:30,2025-10-24 09:28:30,CHF,UAH,52.6,53.15,
GARANT,58208,v1,2025-10-24 09:28:30,2025-10-24 09:28:30,CAD,UAH,29.4,29.85,
GARANT,58208,v1,2025-10-24 09:28:30,2025-10-24 09:28:30,SEK,UAH,3.95,4.15,
GARANT,58211,v1,2025-10-24 10:14:06,2025-10-24 10:14:06,EUR,USD,1.164,1.169,крос-курс (EUR/USD)
GARANT,58211,v1,2025-10-24 10:14:06,2025-10-24 10:14:06,USD,UAH,41.95,42.1,від 3000$
GARANT,58211,v1,2025-10-24 10:14:06,2025-10-24 10:14:06,USD,UAH,42.0,42.05,кращий курс мережі від 3000$  відділення уточнюйте
GARANT,58211,v1,2025-10-24 10:14:06,2025-10-24 10:14:06,EUR,UAH,48.95,49.05,кращий курс мережі від 3000€  відділення уточнюйте
GARANT,58214,v1,2025-10-24 11:00:00,2025-10-24 11:00:00,EUR,USD,1.163,1.168,крос-курс (EUR/USD)
GARANT,58218,v1,2025-10-24 11:56:14,2025-10-24 11:56:14,EUR,USD,1.163,1.168,крос-курс (EUR/USD)
