channel,message_id,version,published,edited,currency_a,currency_b,buy,sell,comment
MIRVALUTY,1877,v1,2022-10-11 14:37:50,2022-10-11 14:37:50,USD,UAH,40.95,41.15,
MIRVALUTY,1877,v1,2022-10-11 14:37:50,2022-10-11 14:37:50,EUR,UAH,39.1,39.35,
MIRVALUTY,1877,v1,2022-10-11 14:37:50,2022-10-11 14:37:50,PLN,UAH,8.0,8.5,
MIRVALUTY,1877,v1,2022-10-11 14:37:50,2022-10-11 14:37:50,GBP,UAH,44.5,46.0,
MIRVALUTY,1877,v1,2022-10-11 14:37:50,2022-10-11 14:37:50,CAD,UAH,30.0,31.5,
MIRVALUTY,1877,v1,2022-10-11 14:37:50,2022-10-11 14:37:50,CHF,UAH,41.0,42.5,
MIRVALUTY,1878,v1,2022-10-11 16:37:44,2022-10-11 17:04:12,USD,UAH,40.9,41.1,
MIRVALUTY,1878,v1,2022-10-11 16:37:44,2022-10-11 17:04:12,EUR,UAH,39.0,39.35,
MIRVALUTY,1879,v1,2022-10-12 08:04:25,2022-10-12 08:04:25,USD,UAH,40.8,41.1,
MIRVALUTY,1879,v1,2022-10-12 08:04:25,2022-10-12 08:04:25,EUR,UAH,38.8,39.25,
MIRVALUTY,1880,v1,2022-10-12 09:45:02,2022-10-12 09:45:02,USD,UAH,40.8,41.05,
MIRVALUTY,1881,v1,2022-10-12 10:40:44,2022-10-12 10:40:44,USD,UAH,40.8,41.0,
MIRVALUTY,1881,v1,2022-10-12 10:40:44,2022-10-12 10:40:44,EUR,UAH,38.75,39.15,
MIRVALUTY,1881,v1,2022-10-12 10:40:44,2022-10-12 10:40:44,PLN,UAH,8.0,8.3,
MIRVALUTY,1881,v1,2022-10-12 10:40:44,2022-10-12 10:40:44,GBP,UAH,44.2,45.5,
MIRVALUTY,1881,v1,2022-10-12 10:40:44,2022-10-12 10:40:44,CAD,UAH,29.5,31.0,
MIRVALUTY,1881,v1,2022-10-12 10:40:44,2022-10-12 10:40:44,CHF,UAH,41.0,42.0,
MIRVALUTY,1882,v1,2022-10-12 10:58:38,2022-10-12 11:03:36,USD,UAH,40.8,40.95,
MIRVALUTY,1882,v1,2022-10-12 10:58:38,2022-10-12 11:03:36,EUR,UAH,38.75,39.1,
MIRVALUTY,1883,v1,2022-10-12 11:06:29,2022-10-12 11:06:29,USD,UAH,40.7,40.9,
MIRVALUTY,1884,v1,2022-10-12 11:31:40,2022-10-12 11:31:40,USD,UAH,40.6,40.9,
MIRVALUTY,1884,v1,2022-10-12 11:31:40,2022-10-12 11:31:40,EUR,UAH,38.65,39.05,
MIRVALUTY,1885,v1,2022-10-12 11:59:09,2022-10-12 11:59:09,USD,UAH,40.6,40.85,
MIRVALUTY,1885,v1,2022-10-12 11:59:09,2022-10-12 11:59:09,EUR,UAH,38.7,39.0,
MIRVALUTY,1886,v1,2022-10-12 13:00:23,2022-10-12 13:00:23,USD,UAH,40.55,40.75,
MIRVALUTY,1886,v1,2022-10-12 13:00:23,2022-10-12 13:00:23,EUR,UAH,38.6,39.0,
MIRVALUTY,1886,v1,2022-10-12 13:00:23,2022-10-12 13:00:23,CHF,UAH,40.7,41.8,
MIRVALUTY,1887,v1,2022-10-12 14:16:56,2022-10-12 14:16:56,USD,UAH,40.6,40.8,
MIRVALUTY,1887,v1,2022-10-12 14:16:56,2022-10-12 14:16:56,EUR,UAH,38.6,38.9,
MIRVALUTY,1888,v1,2022-10-12 14:32:35,2022-10-12 14:32:35,USD,UAH,40.65,40.85,
MIRVALUTY,1888,v1,2022-10-12 14:32:35,2022-10-12 14:32:35,EUR,UAH,38.65,38.9,
MIRVALUTY,1889,v1,2022-10-12 15:00:25,2022-10-12 15:11:53,USD,UAH,40.7,40.9,
MIRVALUTY,1889,v1,2022-10-12 15:00:25,2022-10-12 15:11:53,EUR,UAH,38.75,39.0,
MIRVALUTY,1889,v1,2022-10-12 15:00:25,2022-10-12 15:11:53,PLN,UAH,7.9,8.3,
MIRVALUTY,1890,v1,2022-10-12 15:32:00,2022-10-12 15:32:00,USD,UAH,40.75,40.95,
MIRVALUTY,1890,v1,2022-10-12 15:32:00,2022-10-12 15:32:00,EUR,UAH,38.75,39.1,
MIRVALUTY,1891,v1,2022-10-12 16:54:55,2022-10-12 16:54:55,USD,UAH,40.75,40.9,
MIRVALUTY,1892,v1,2022-10-12 17:15:49,2022-10-12 17:15:49,USD,UAH,40.7,40.9,
MIRVALUTY,1893,v1,2022-10-13 09:11:33,2022-10-13 09:11:33,USD,UAH,40.65,40.85,
MIRVALUTY,1893,v1,2022-10-13 09:11:33,2022-10-13 09:11:33,EUR,UAH,38.7,39.0,
MIRVALUTY,1893,v1,2022-10-13 09:11:33,2022-10-13 09:11:33,PLN,UAH,7.9,8.2,
MIRVALUTY,1893,v1,2022-10-13 09:11:33,2022-10-13 09:11:33,CAD,UAH,29.5,30.8,
MIRVALUTY,1893,v1,2022-10-13 09:11:33,2022-10-13 09:11:33,CHF,UAH,40.5,41.5,
MIRVALUTY,1894,v1,2022-10-13 10:32:02,2022-10-13 10:32:02,USD,UAH,40.6,40.8,
MIRVALUTY,1895,v1,2022-10-13 10:56:41,2022-10-13 11:15:51,USD,UAH,40.55,40.75,
MIRVALUTY,1895,v1,2022-10-13 10:56:41,2022-10-13 11:15:51,EUR,UAH,38.65,38.95,
MIRVALUTY,1896,v1,2022-10-13 13:28:04,2022-10-13 13:28:04,USD,UAH,40.6,40.75,
