channel,message_id,version,published,edited,currency_a,currency_b,buy,sell,comment
UACOIN,11967,v1,2025-09-18 11:15:13,2025-09-18 11:15:13,EUR,USD,1.183,1.187,крос-курс (EUR/USD)
UACOIN,11967,v1,2025-09-18 11:15:13,2025-09-18 11:15:13,USD,UAH,41.2,41.3,
UACOIN,11967,v1,2025-09-18 11:15:13,2025-09-18 11:15:13,EUR,UAH,48.79,48.9,
UACOIN,11967,v1,2025-09-18 11:15:13,2025-09-18 11:15:13,GBP,UAH,55.7,56.2,
UACOIN,11967,v1,2025-09-18 11:15:13,2025-09-18 11:15:13,CHF,UAH,51.8,52.2,
UACOIN,11967,v1,2025-09-18 11:15:13,2025-09-18 11:15:13,PLN,UAH,11.35,11.45,
UACOIN,11967,v1,2025-09-18 11:15:13,2025-09-18 11:15:13,CZK,UAH,1.8,2.0,
UACOIN,11968,v1,2025-09-18 11:34:52,2025-09-18 11:34:52,EUR,UAH,48.8,48.9,
UACOIN,11969,v1,2025-09-18 12:43:52,2025-09-18 12:43:52,USD,UAH,41.2,41.24,
UACOIN,11969,v1,2025-09-18 12:43:52,2025-09-18 12:43:52,EUR,UAH,48.75,48.85,
UACOIN,11970,v1,2025-09-18 13:10:04,2025-09-18 13:10:04,USD,UAH,41.15,41.24,
UACOIN,11971,v1,2025-09-18 13:26:06,2025-09-18 13:26:06,USD,UAH,41.2,41.24,
UACOIN,11971,v1,2025-09-18 13:26:06,2025-09-18 13:26:06,EUR,UAH,48.8,48.87,
UACOIN,11972,v1,2025-09-18 14:34:24,2025-09-18 14:34:24,USD,UAH,41.2,41.25,
UACOIN,11972,v1,2025-09-18 14:34:24,2025-09-18 14:34:24,EUR,UAH,48.8,48.9,
UACOIN,11973,v1,2025-09-18 15:01:43,2025-09-18 15:01:43,EUR,UAH,48.75,48.85,
UACOIN,11974,v1,2025-09-18 15:26:49,2025-09-18 15:26:49,USD,UAH,41.15,41.25,
UACOIN,11975,v1,2025-09-18 16:08:45,2025-09-18 16:08:45,EUR,USD,1.178,1.183,крос-курс (EUR/USD)
UACOIN,11975,v1,2025-09-18 16:08:45,2025-09-18 16:08:45,EUR,UAH,48.7,48.8,
UACOIN,11975,v1,2025-09-18 16:08:45,2025-09-18 16:08:45,GBP,UAH,55.5,56.2,
UACOIN,11975,v1,2025-09-18 16:08:45,2025-09-18 16:08:45,CHF,UAH,51.5,52.2,
UACOIN,11976,v1,2025-09-18 16:48:33,2025-09-18 16:48:33,EUR,USD,1.177,1.182,крос-курс (EUR/USD)
UACOIN,11976,v1,2025-09-18 16:48:33,2025-09-18 16:48:33,EUR,UAH,48.55,48.75,
UACOIN,11977,v1,2025-09-19 09:01:54,2025-09-19 09:01:54,EUR,UAH,48.5,48.7,
UACOIN,11978,v1,2025-09-19 09:17:43,2025-09-19 09:17:43,EUR,USD,1.178,1.182,крос-курс (EUR/USD)
UACOIN,11978,v1,2025-09-19 09:17:43,2025-09-19 09:17:43,EUR,UAH,48.55,48.7,
UACOIN,11978,v1,2025-09-19 09:17:43,2025-09-19 09:17:43,GBP,UAH,55.7,56.1,
UACOIN,11978,v1,2025-09-19 09:17:43,2025-09-19 09:17:43,CHF,UAH,51.9,52.2,
UACOIN,11980,v1,2025-09-19 11:47:52,2025-09-19 11:47:52,EUR,UAH,48.6,48.75,
UACOIN,11981,v1,2025-09-19 13:46:25,2025-09-19 13:46:25,USD,UAH,41.2,41.3,
UACOIN,11982,v1,2025-09-19 14:26:12,2025-09-19 14:26:12,EUR,UAH,48.65,48.75,
UACOIN,11983,v1,2025-09-19 15:01:16,2025-09-19 15:01:16,EUR,UAH,48.6,48.7,
UACOIN,11984,v1,2025-09-19 15:11:03,2025-09-19 15:11:03,USD,UAH,41.2,41.28,
UACOIN,11985,v1,2025-09-22 09:02:15,2025-09-22 09:02:15,EUR,USD,1.175,1.18,крос-курс (EUR/USD)
UACOIN,11985,v1,2025-09-22 09:02:15,2025-09-22 09:02:15,EUR,UAH,48.5,48.7,
UACOIN,11985,v1,2025-09-22 09:02:15,2025-09-22 09:02:15,GBP,UAH,55.5,56.0,
UACOIN,11985,v1,2025-09-22 09:02:15,2025-09-22 09:02:15,CHF,UAH,51.7,52.1,
UACOIN,11986,v1,2025-09-22 11:14:42,2025-09-22 11:14:42,EUR,USD,1.1785,1.1805,крос-курс (EUR/USD)
UACOIN,11986,v1,2025-09-22 11:14:42,2025-09-22 11:14:42,USD,UAH,41.23,41.3,
UACOIN,11986,v1,2025-09-22 11:14:42,2025-09-22 11:14:42,EUR,UAH,48.64,48.73,
UACOIN,11987,v1,2025-09-22 11:54:15,2025-09-22 11:54:15,USD,UAH,41.2,41.3,
UACOIN,11988,v1,2025-09-22 13:01:25,2025-09-22 13:01:25,EUR,USD,1.179,1.181,крос-курс (EUR/USD)
UACOIN,11988,v1,2025-09-22 13:01:25,2025-09-22 13:01:25,EUR,UAH,48.65,48.74,
UACOIN,11989,v1,2025-09-22 13:35:40,2025-09-22 13:35:40,EUR,USD,1.179,1.182,крос-курс (EUR/USD)
UACOIN,11990,v1,2025-09-22 15:05:27,2025-09-22 15:05:27,USD,UAH,41.2,41.27,
