channel,message_id,version,published,edited,currency_a,currency_b,buy,sell,comment
VALUTA_KIEV,8806,v1,2025-09-30 17:55:58,2025-09-30 17:59:22,EUR,USD,1.1785,1.182,крос-курс (EUR/USD)
VALUTA_KIEV,8806,v1,2025-09-30 17:55:58,2025-09-30 17:59:22,GBP,USD,1.345,1.35,крос-курс (GBP/USD)
VALUTA_KIEV,8806,v1,2025-09-30 17:55:58,2025-09-30 17:59:22,PLN,USD,3.65,3.62,крос-курс (PLN/USD)
VALUTA_KIEV,8806,v1,2025-09-30 17:55:58,2025-09-30 17:59:22,CHF,USD,1.26,1.267,крос-курс (CHF/USD)
VALUTA_KIEV,8806,v1,2025-09-30 17:55:58,2025-09-30 17:59:22,USD,UAH,41.21,41.26,
VALUTA_KIEV,8806,v1,2025-09-30 17:55:58,2025-09-30 17:59:22,EUR,UAH,48.63,48.73,
VALUTA_KIEV,8806,v1,2025-09-30 17:55:58,2025-09-30 17:59:22,PLN,UAH,11.38,11.45,
VALUTA_KIEV,8806,v1,2025-09-30 17:55:58,2025-09-30 17:59:22,GBP,UAH,55.35,55.7,
VALUTA_KIEV,8806,v1,2025-09-30 17:55:58,2025-09-30 17:59:22,CHF,UAH,52.0,52.3,
VALUTA_KIEV,8807,v1,2025-10-01 08:58:19,2025-10-01 10:15:20,EUR,USD,1.179,1.183,крос-курс (EUR/USD)
VALUTA_KIEV,8807,v1,2025-10-01 08:58:19,2025-10-01 10:15:20,USD,UAH,41.23,41.28,
VALUTA_KIEV,8807,v1,2025-10-01 08:58:19,2025-10-01 10:15:20,EUR,UAH,48.7,48.85,
VALUTA_KIEV,8807,v1,2025-10-01 08:58:19,2025-10-01 10:15:20,GBP,UAH,55.4,55.7,
VALUTA_KIEV,8810,v1,2025-10-01 11:33:28,2025-10-01 13:38:51,EUR,USD,1.178,1.182,крос-курс (EUR/USD)
VALUTA_KIEV,8810,v1,2025-10-01 11:33:28,2025-10-01 13:38:51,CHF,USD,1.262,1.268,крос-курс (CHF/USD)
VALUTA_KIEV,8810,v1,2025-10-01 11:33:28,2025-10-01 13:38:51,USD,UAH,41.24,41.28,
VALUTA_KIEV,8810,v1,2025-10-01 11:33:28,2025-10-01 13:38:51,EUR,UAH,48.65,48.77,
VALUTA_KIEV,8810,v1,2025-10-01 11:33:28,2025-10-01 13:38:51,GBP,UAH,55.45,55.7,
VALUTA_KIEV,8810,v1,2025-10-01 11:33:28,2025-10-01 13:38:51,CHF,UAH,52.05,52.3,
VALUTA_KIEV,8812,v1,2025-10-01 15:01:22,2025-10-01 16:17:10,EUR,USD,1.179,1.183,крос-курс (EUR/USD)
VALUTA_KIEV,8812,v1,2025-10-01 15:01:22,2025-10-01 16:17:10,USD,UAH,41.23,41.28,
VALUTA_KIEV,8812,v1,2025-10-01 15:01:22,2025-10-01 16:17:10,EUR,UAH,48.67,48.78,
VALUTA_KIEV,8812,v1,2025-10-01 15:01:22,2025-10-01 16:17:10,GBP,UAH,55.4,55.65,
