id,channel_id,message_id,version,published,edited,currency_a,currency_b,buy,sell,comment
1245,2,5488,v1,2025-10-09 08:55:56,2025-10-09 16:59:31,USD,UAH,41.35,41.65,
1246,2,5488,v1,2025-10-09 08:55:56,2025-10-09 16:59:31,EUR,UAH,48.35,48.65,
1247,2,5488,v1,2025-10-09 08:55:56,2025-10-09 16:59:31,PLN,UAH,11.3,11.55,
1248,2,5488,v1,2025-10-09 08:55:56,2025-10-09 16:59:31,USD,EUR,1.17,1.18,крос-курс (USD/EUR)
1249,2,5488,v1,2025-10-09 08:55:56,2025-10-09 16:59:31,USD,GBP,1.34,1.36,крос-курс (USD/GBP)
1250,2,5489,v1,2025-10-10 08:59:22,2025-10-10 17:20:25,USD,UAH,41.4,41.8,
1251,2,5489,v1,2025-10-10 08:59:22,2025-10-10 17:20:25,USD,EUR,1.164,1.173,крос-курс (USD/EUR)
1252,2,5490,v1,2025-10-11 09:46:36,2025-10-11 12:28:07,EUR,UAH,48.4,48.65,
1253,2,5490,v1,2025-10-11 09:46:36,2025-10-11 12:28:07,USD,EUR,1.162,1.172,крос-курс (USD/EUR)
1254,2,5491,v1,2025-10-13 08:57:22,2025-10-13 16:02:07,USD,UAH,41.5,41.8,
1255,2,5491,v1,2025-10-13 08:57:22,2025-10-13 16:02:07,EUR,UAH,48.48,48.7,
1256,2,5491,v1,2025-10-13 08:57:22,2025-10-13 16:02:07,USD,EUR,1.164,1.174,крос-курс (USD/EUR)
1257,2,5492,v1,2025-10-14 09:01:12,2025-10-14 16:08:47,USD,UAH,41.7,42.1,
1258,2,5492,v1,2025-10-14 09:01:12,2025-10-14 16:08:47,EUR,UAH,48.55,48.75,
1259,2,5492,v1,2025-10-14 09:01:12,2025-10-14 16:08:47,USD,EUR,1.16,1.17,крос-курс (USD/EUR)
1260,2,5493,v1,2025-10-15 08:57:39,2025-10-15 16:17:53,USD,UAH,41.58,41.85,
1261,2,5493,v1,2025-10-15 08:57:39,2025-10-15 16:17:53,EUR,UAH,48.6,48.85,
1262,2,5493,v1,2025-10-15 08:57:39,2025-10-15 16:17:53,USD,EUR,1.164,1.174,крос-курс (USD/EUR)
1263,2,5495,v1,2025-10-16 09:03:32,2025-10-16 15:48:44,USD,UAH,41.63,41.95,
1264,2,5495,v1,2025-10-16 09:03:32,2025-10-16 15:48:44,EUR,UAH,48.75,48.95,
1265,2,5495,v1,2025-10-16 09:03:32,2025-10-16 15:48:44,USD,EUR,1.167,1.175,крос-курс (USD/EUR)
1266,2,5496,v1,2025-10-17 08:55:27,2025-10-17 16:02:25,USD,UAH,41.65,41.95,
1267,2,5496,v1,2025-10-17 08:55:27,2025-10-17 16:02:25,EUR,UAH,48.85,49.1,
1268,2,5496,v1,2025-10-17 08:55:27,2025-10-17 16:02:25,USD,EUR,1.17,1.18,крос-курс (USD/EUR)
1269,2,5497,v1,2025-10-18 09:55:03,2025-10-18 09:55:03,EUR,UAH,48.8,49.1,
1270,2,5497,v1,2025-10-18 09:55:03,2025-10-18 09:55:03,USD,EUR,1.168,1.176,крос-курс (USD/EUR)
1271,2,5498,v1,2025-10-20 08:53:38,2025-10-21 17:27:51,USD,UAH,41.7,41.99,
1272,2,5498,v1,2025-10-20 08:53:38,2025-10-21 17:27:51,EUR,UAH,48.8,49.05,
1273,2,5499,v1,2025-10-21 08:57:25,2025-10-22 12:48:58,USD,UAH,41.8,42.1,
1274,2,5499,v1,2025-10-21 08:57:25,2025-10-22 12:48:58,EUR,UAH,48.85,49.05,
1275,2,5499,v1,2025-10-21 08:57:25,2025-10-22 12:48:58,PLN,UAH,11.4,11.6,
1276,2,5499,v1,2025-10-21 08:57:25,2025-10-22 12:48:58,USD,EUR,1.164,1.174,крос-курс (USD/EUR)
1277,2,5500,v1,2025-10-22 08:51:10,2025-10-22 17:31:59,USD,UAH,41.9,42.2,
1278,2,5500,v1,2025-10-22 08:51:10,2025-10-22 17:31:59,EUR,UAH,48.8,49.05,
1279,2,5500,v1,2025-10-22 08:51:10,2025-10-22 17:31:59,USD,EUR,1.162,1.172,крос-курс (USD/EUR)
1280,2,5502,v1,2025-10-23 08:56:30,2025-10-23 16:20:42,EUR,UAH,48.85,49.1,
1281,2,5502,v1,2025-10-23 08:56:30,2025-10-23 16:20:42,USD,EUR,1.162,1.168,крос-курс (USD/EUR)
1282,2,5503,v1,2025-10-24 08:59:16,2025-10-24 16:35:50,USD,UAH,42.05,42.45,
1283,2,5503,v1,2025-10-24 08:59:16,2025-10-24 16:35:50,EUR,UAH,49.05,49.4,
